time,id,pos,in_network
0,1,"[80.0, 50.0]",false
0,2,"[74.27050983124843, 67.6335575687742]",false
0,3,"[59.270509831248425, 78.53169548885461]",false
0,4,"[40.72949016875158, 78.53169548885461]",false
0,5,"[25.72949016875158, 67.6335575687742]",false
0,6,"[20.0, 50.00000000000001]",false
0,7,"[25.729490168751575, 32.366442431225806]",false
0,8,"[40.729490168751575, 21.468304511145394]",false
0,9,"[59.27050983124842, 21.46830451114539]",false
0,10,"[74.27050983124842, 32.3664424312258]",false
1,1,"[80.0, 50.0]",true
1,2,"[74.27050983124843, 67.6335575687742]",true
1,3,"[59.270509831248425, 78.53169548885461]",true
1,4,"[40.72949016875158, 78.53169548885461]",true
1,5,"[25.72949016875158, 67.6335575687742]",true
1,6,"[20.0, 50.00000000000001]",true
1,7,"[25.729490168751575, 32.366442431225806]",true
1,8,"[40.729490168751575, 21.468304511145394]",true
1,9,"[59.27050983124842, 21.46830451114539]",true
1,10,"[74.27050983124842, 32.3664424312258]",true
2,1,"[79.90856918670859, 49.96505253775868]",true
2,2,"[74.19546938526472, 67.57079548522753]",true
2,3,"[59.26432867383842, 78.43218706551622]",true
2,4,"[40.765811670099055, 78.44050886389437]",true
2,5,"[25.798169594477557, 67.56426174772642]",true
2,6,"[20.08938741265282, 50.03983634815349]",true
2,7,"[25.799195254195848, 32.43781598196096]",true
2,8,"[40.73278308643955, 21.567936596687893]",true
2,9,"[59.21408844851539, 21.550677437397038]",true
2,10,"[74.17943521657784, 32.404968584880905]",true
3,1,"[79.8171383734172, 49.93010507551737]",true
3,2,"[74.12042893928098, 67.50803340168086]",true
3,3,"[59.258147516428416, 78.33267864217781]",true
3,4,"[40.802133171446535, 78.34932223893412]",true
3,5,"[25.866849020203535, 67.49496592667865]",true
3,6,"[20.178774825305634, 50.07967269630697]",true
3,7,"[25.86890033964012, 32.50918953269611]",true
3,8,"[40.736076004127526, 21.66756868223039]",true
3,9,"[59.15766706578236, 21.633050363648685]",true
3,10,"[74.08836060190728, 32.44349473853601]",true
4,1,"[79.72570756012578, 49.89515761327605]",true
4,2,"[74.04538849329727, 67.4452713181342]",true
4,3,"[59.25196635901842, 78.23317021883942]",true
4,4,"[40.83845467279401, 78.25813561397388]",true
4,5,"[25.935528445929513, 67.42567010563087]",true
4,6,"[20.268162237958453, 50.11950904446046]",true
4,7,"[25.938605425084393, 32.580563083431265]",true
4,8,"[40.7393689218155, 21.767200767772888]",true
4,9,"[59.101245683049335, 21.715423289900333]",true
4,10,"[73.99728598723671, 32.482020892191116]",true
5,1,"[79.63427674683439, 49.86021015103473]",true
5,2,"[73.97034804731355, 67.38250923458754]",true
5,3,"[59.24578520160841, 78.13366179550103]",true
5,4,"[40.87477617414149, 78.16694898901363]",true
5,5,"[26.004207871655492, 67.3563742845831]",true
5,6,"[20.357549650611272, 50.159345392613936]",true
5,7,"[26.008310510528666, 32.65193663416642]",true
5,8,"[40.74266183950347, 21.866832853315387]",true
5,9,"[59.04482430031631, 21.79779621615198]",true
5,10,"[73.90621137256615, 32.52054704584622]",true
6,1,"[79.54284593354298, 49.82526268879341]",true
6,2,"[73.89530760132982, 67.31974715104089]",true
6,3,"[59.23960404419841, 78.03415337216262]",true
6,4,"[40.91109767548896, 78.07576236405338]",true
6,5,"[26.07288729738147, 67.28707846353532]",true
6,6,"[20.446937063264087, 50.19918174076742]",true
6,7,"[26.07801559597294, 32.72331018490157]",true
6,8,"[40.74595475719144, 21.966464938857886]",true
6,9,"[58.98840291758328, 21.880169142403627]",true
6,10,"[73.81513675789557, 32.55907319950133]",true
7,1,"[79.45141512025157, 49.790315226552096]",true
7,2,"[73.8202671553461, 67.25698506749421]",true
7,3,"[59.233422886788404, 77.93464494882423]",true
