time,id,pos,in_network
0,1,"[80.0, 50.0]",false
0,2,"[74.27050983124843, 67.6335575687742]",false
0,3,"[59.270509831248425, 78.53169548885461]",false
0,4,"[40.72949016875158, 78.53169548885461]",false
0,5,"[25.72949016875158, 67.6335575687742]",false
0,6,"[20.0, 50.00000000000001]",false
0,7,"[25.729490168751575, 32.366442431225806]",false
0,8,"[40.729490168751575, 21.468304511145394]",false
0,9,"[59.27050983124842, 21.46830451114539]",false
0,10,"[74.27050983124842, 32.3664424312258]",false
1,1,"[80.0, 50.0]",true
1,2,"[74.27050983124843, 67.6335575687742]",true
1,3,"[59.270509831248425, 78.53169548885461]",true
1,4,"[40.72949016875158, 78.53169548885461]",true
1,5,"[25.72949016875158, 67.6335575687742]",true
1,6,"[20.0, 50.00000000000001]",true
1,7,"[25.729490168751575, 32.366442431225806]",true
1,8,"[40.729490168751575, 21.468304511145394]",true
1,9,"[59.27050983124842, 21.46830451114539]",true
1,10,"[74.27050983124842, 32.3664424312258]",true
2,1,"[79.90452629608484, 49.97026107886066]",true
2,2,"[74.21162334136083, 67.55278724351423]",true
2,3,"[59.27091108403556, 78.43170442003061]",true
2,4,"[40.78882367483518, 78.45121321327001]",true
2,5,"[25.82522034217167, 67.60465013906534]",true
2,6,"[20.09399707288085, 50.034123127377384]",true
2,7,"[25.789592781443563, 32.44636045911382]",true
2,8,"[40.72621700856205, 21.568136132094896]",true
2,9,"[59.21143801074775, 21.5489853895854]",true
2,10,"[74.17545862186307, 32.397428677643624]",true
3,1,"[79.80905259216969, 49.94052215772131]",true
3,2,"[74.15273685147324, 67.47201691825427]",true
3,3,"[59.271312336822696, 78.33171335120662]",true
3,4,"[40.84815718091877, 78.37073093768541]",true
3,5,"[25.920950515591763, 67.57574270935649]",true
3,6,"[20.1879941457617, 50.06824625475476]",true
3,7,"[25.84969539413555, 32.526278487001825]",true
3,8,"[40.72294384837253, 21.6679677530444]",true
3,9,"[59.15236619024707, 21.62966626802541]",true
3,10,"[74.08040741247774, 32.42841492406146]",true
4,1,"[79.71357888825453, 49.91078323658197]",true
4,2,"[74.09385036158564, 67.3912465929943]",true
4,3,"[59.27171358960983, 78.23172228238262]",true
4,4,"[40.907490687002365, 78.29024866210081]",true
4,5,"[26.016680689011853, 67.54683527964764]",true
4,6,"[20.281991218642546, 50.102369382132146]",true
4,7,"[25.90979800682754, 32.60619651488984]",true
4,8,"[40.71967068818301, 21.767799373993903]",true
4,9,"[59.0932943697464, 21.710347146465423]",true
4,10,"[73.9853562030924, 32.45940117047928]",true
5,1,"[79.61810518433938, 49.88104431544263]",true
5,2,"[74.03496387169804, 67.31047626773434]",true
5,3,"[59.27211484239697, 78.13173121355862]",true
5,4,"[40.966824193085955, 78.20976638651622]",true
5,5,"[26.112410862431947, 67.51792784993879]",true
5,6,"[20.375988291523395, 50.13649250950952]",true
5,7,"[25.969900619519525, 32.686114542777844]",true
5,8,"[40.716397527993486, 21.867630994943408]",true
5,9,"[59.03422254924573, 21.791028024905433]",true
5,10,"[73.89030499370706, 32.49038741689711]",true
6,1,"[79.52263148042422, 49.85130539430329]",true
6,2,"[73.97607738181043, 67.22970594247438]",true
6,3,"[59.2725160951841, 78.03174014473463]",true
6,4,"[41.02615769916955, 78.12928411093162]",true
6,5,"[26.208141035852037, 67.48902042022993]",true
6,6,"[20.469985364404245, 50.1706156368869]",true
6,7,"[26.030003232211513, 32.76603257066586]",true
6,8,"[40.713124367803964, 21.96746261589291]",true
6,9,"[58.97515072874506, 21.871708903345443]",true
6,10,"[73.79525378432172, 32.52137366331493]",true
7,1,"[79.42715777650906, 49.82156647316394]",true
7,2,"[73.91719089192283, 67.14893561721442]",true
7,3,"[59.27291734797124, 77.93174907591063]",true
